Scenario,Campaign,Society__KP_Defaults.COMMERCIAL.Concurrency_Parameters.HIGH.Max_Simultaneous_Relationships_Female,Report_HIV_Period
base_case,campaign_orig.json,6,60.83333333
prep_high_med_low_0.1,campaign_prep_high_med_low_0.1,6,60.83333333
prep_high_med_low_0.2,campaign_prep_high_med_low_0.2,6,60.83333333
prep_high_med_low_0.3,campaign_prep_high_med_low_0.3,6,60.83333333
prep_high_med_low_0.4,campaign_prep_high_med_low_0.4,6,60.83333333
prep_high_med_low_0.5,campaign_prep_high_med_low_0.5,6,60.83333333
prep_high_med_low_0.6,campaign_prep_high_med_low_0.6,6,60.83333333
prep_high_med_low_0.7,campaign_prep_high_med_low_0.7,6,60.83333333
prep_high_med_low_0.8,campaign_prep_high_med_low_0.8,6,60.83333333
prep_high_med_low_0.9,campaign_prep_high_med_low_0.9,6,60.83333333
prep_high_med_0.1,campaign_prep_high_med_0.1,6,60.83333333
prep_high_med_0.2,campaign_prep_high_med_0.2,6,60.83333333
prep_high_med_0.3,campaign_prep_high_med_0.3,6,60.83333333
prep_high_med_0.4,campaign_prep_high_med_0.4,6,60.83333333
prep_high_med_0.5,campaign_prep_high_med_0.5,6,60.83333333
prep_high_med_0.6,campaign_prep_high_med_0.6,6,60.83333333
prep_high_med_0.7,campaign_prep_high_med_0.7,6,60.83333333
prep_high_med_0.8,campaign_prep_high_med_0.8,6,60.83333333
prep_high_med_0.9,campaign_prep_high_med_0.9,6,60.83333333
prep_high_0.1,campaign_prep_high_0.1,6,60.83333333
prep_high_0.2,campaign_prep_high_0.2,6,60.83333333
prep_high_0.3,campaign_prep_high_0.3,6,60.83333333
prep_high_0.4,campaign_prep_high_0.4,6,60.83333333
prep_high_0.5,campaign_prep_high_0.5,6,60.83333333
prep_high_0.6,campaign_prep_high_0.6,6,60.83333333
prep_high_0.7,campaign_prep_high_0.7,6,60.83333333
prep_high_0.8,campaign_prep_high_0.8,6,60.83333333
prep_high_0.9,campaign_prep_high_0.9,6,60.83333333
